Address,Year Built,Community,Management Company,Fee includes,Amenities,Condo Fee,Beds,Baths,Price,Link
"1999 Greenvale Lane,Orleans, ON K1C 6E5",1987,Chateauneuf,Deerpark Management,"Building Insurance, Caretaker, Management Fee",,$395,3,1.5,"$380,000",https://www.redfin.com/on/ottawa/1999-Greenvale-Lane-K1C-6E6/home/149040754
"6887 Bilberry Dr,Orleans, ON K1C 2E8",1978,Convent Glen North,CMG,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$414,3,1.5,"$420,000",https://www.redfin.com/on/ottawa/6887-Bilberry-Dr-K1C-2E8/home/149041702
"6493 Colony Sq,Orleans, ON K1C 3E3",1984,Convent Glen,Deerpark management Ltd,"Building Insurance, Common Area Hydro, Management Fee, Snow, Removal, Water/Sewer",,$228,3,2.5,"$640,000",https://www.redfin.com/on/ottawa/6493-Colony-Sq-K1C-3E3/home/149044643
"203 Cattail Way,Orleans, ON K1E 2C7",1978,Chatelaine Village,Condominium Management Group,"Amenities, Building Insurance, Caretaker, Garbage Removal,, General Maintenance and Repair, Management Fee, Recreation Facilities, Snow, Removal, Water/Sewer","Amenities, Building Insurance, Caretaker, Garbage Removal,, General Maintenance and Repair, Management Fee, Recreation Facilities, Snow, Removal, Water/Sewer",$420,3,1.5,"$441,000",https://www.redfin.com/on/ottawa/203-Cattail-Way-K1E/home/149044931
"6645B Bilberry Dr,Orleans, ON K1C 4N5",1986,Convent Glen North,Capital Integral Property Mgmt,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$333.32,2,1.5,"$406,000",https://www.redfin.com/on/ottawa/6645-Bilberry-Dr-K1C-4N5/home/149045116
"340 Centrum Blvd 308,Ottawa, ON K1E 3W1",1989,Orleans,Condo Mgmt Group,"Amenities, Building Insurance, Caretaker, Garbage Removal,, Management Fee, Recreation Facilities, Snow Removal, Water/Sewer","Clubhouse, Elevator, Exercise Centre, Multi Use Room, Party Room,, Security",$597.64,2,1,"$440,000",https://www.redfin.com/on/ottawa/340-Centrum-Blvd-K1E-3W1/unit-308/home/149045742
"120 Montblanc Pvt 401,Orleans, ON K1C 0B1",2013,Convent Glen North,Apollo,"Building Insurance, Caretaker, Management Fee",,$613,2,2,"$679,000",https://www.redfin.com/on/ottawa/120-Montblanc-Pvt-K1C/unit-401/home/149045851
"1009 Cloister Gdns,Orleans, ON K1C 2A2",1978,Convent Glen North,PMA Realty Consulting Ltd,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$434,3,1.5,"$435,000",https://www.redfin.com/on/ottawa/1009-Cloister-Gdns-K1C-2A2/home/149045988
"1215 Priory Lane,Ottawa, ON K1C 1Z8",1977,Convent Glen,PMA,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$434,3,1.5,"$490,000",https://www.redfin.com/on/ottawa/1215-Priory-Lane-K1C-1Z8/home/149046267
"1811 Summerfields Cres,Orleans, ON K1C 7B8",1990,Chapel Hill North,Reid Management,"General Maintenance and Repair, Insurance, Management Fee",,$322,3,2.5,"$620,000",https://www.redfin.com/on/ottawa/1811-Summerfields-Cres-K1C-7B8/home/149047066
"1727 Lafrance Dr,Ottawa, ON K1E 2H1",1981,Queenswood Heights,CMG,"Building Insurance, Snow Removal",,$103,3,1.5,"$600,104",https://www.redfin.com/on/ottawa/1727-Lafrance-Dr-K1E-2H1/home/149047597
"215 Titanium Pvt 102,Orleans, ON K1C 0B7",2014,Quarry Glen,CMG,"Building Insurance, Caretaker, Landscape, Management Fee, Snow, Removal",,$613,2,2,"$647,000",https://www.redfin.com/on/ottawa/215-Titanium-Pvt-K1C-7S3/unit-102/home/149048271
"356 Des Epinette Ave,Ottawa, ON K1E 2G7",1979,Queenswood Heights South,CMG,"Building Insurance, Management Fee",,$103.49,3,1.5,"$562,000",https://www.redfin.com/on/ottawa/356-Des-Epinettes-Ave-K1E-2G7/home/149048560
"340 Centrum Blvd 206,Ottawa, ON K1E 3W1",1989,Queenswood Heights,Condo Management Group,"Building Insurance, Caretaker, Management Fee, Water/Sewer","Elevator, Multi Use Room",$609.59,2,2,"$335,000",https://www.redfin.com/on/ottawa/340-Centrum-Blvd-K1E-3W1/unit-206/home/149050216
"192 Teal Cres,Ottawa, ON K1E 2C4",1972,Chatelaine Village,CMG,"Building Insurance, Caretaker, Insurance, Management Fee,, Water/Sewer",,$420,3,1.5,"$360,000",https://www.redfin.com/on/ottawa/192-Teal-Cres-K1E-2C3/home/149054069
"320 Centrum Blvd 407,Orleans, ON K1E 3X9",2001,Bilberry/queenswood Heights,20/20 Property Management Ltd,"Building Insurance, Caretaker, Management Fee, Water/Sewer","Balcony, Elevator, Multi Use Room, Patio",$371.50,1,1,"$349,900",https://www.redfin.com/on/ottawa/320-Centrum-Blvd-K1E-3X9/unit-407/home/149056698
"2400 Esprit Dr,Orleans, ON K4A 0R2",2012,Avalon,CMG,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$260.15,2,2.5,"$500,000",https://www.redfin.com/on/ottawa/2400-Esprit-Dr-K4A-0T4/home/149086694
"2318 Bois Vert Pl,Orleans, ON K4A 4T8",2004,Avalon,Condo Management Group,"Building Insurance, Management Fee, Snow Removal",,$218.13,0 + 2,2.5,"$384,900",https://www.redfin.com/on/ottawa/2318-Bois-Vert-Pl-K4A-4T8/home/149098170
"635 Louis Toscano Dr,Ottawa, ON K4A 0B7",2008,Avalon East,CMG,"Building Insurance, Caretaker, General Maintenance and Repair,, Landscape, Management Fee, Reserve Fund Allocation",Balcony,$198.64,2,2.5,"$405,000",https://www.redfin.com/on/ottawa/635-Louis-Toscano-Dr-K4A-0B7/home/149099071
"538 Lakeridge Dr,Orleans, ON K4A 0H5",2007,Avalon East,CMG,"Amenities, Building Insurance, Caretaker, Management Fee","Amenities, Building Insurance, Caretaker, Management Fee",$290.17,0 + 2,2.5,"$477,000",https://www.redfin.com/on/ottawa/538-Lakeridge-Dr-K4A-0H5/home/149099629
"84 Lakepointe Dr,Orleans, ON K4A 5E5",2004,Avalon,CMG,"Building Insurance, Caretaker, Management Fee",,$299,2,2.5,"$545,000",https://www.redfin.com/on/ottawa/84-Lakepointe-Dr-K4A-3W6/home/149103265
"85 Crosby Pvt,Ottawa, ON K4A 0B8",2009,Avalon East,CMG Condo Management Group,"Building Insurance, Caretaker, Management Fee",,$222.19,2,2.5,"$486,650",https://www.redfin.com/on/ottawa/85-Crosby-Pvt-K4A-0B8/home/149110663
"701 Lakeridge Dr,Ottawa, ON K4A 0N5",2010,Avalon,Condo Management Group,"Building Insurance, Caretaker, Management Fee",,$212.16,0 + 2,2.5,"$500,500",https://www.redfin.com/on/ottawa/701-Lakeridge-Dr-K4A-0N5/home/149121130
"106 Sternes Pvt,Ottawa, ON K4A 0X8",2014,Royal Ridge,Condo Management Group,"Building Insurance, Caretaker, General Maintenance and Repair,, Snow Removal",Balcony,$287.60,2,2,"$490,500",https://www.redfin.com/on/ottawa/106-Sternes-Pvt-K4A-0T9/home/149125425
"266B Titanium Pvt,Ottawa, ON K1C 7S3",2012,Convent Glen North,CMG,"Building Insurance, Caretaker, Landscape, Management Fee, Snow, Removal",,$592,3,2.5,"$477,000",https://www.redfin.com/on/ottawa/266-Titanium-Pvt-K1C-7S3/home/149129862
"6861 Bilberry Dr,Orleans, ON K1C 2E8",1978,Orleans Wood,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$402,3,1.5,"$420,000",https://www.redfin.com/on/ottawa/6861-Bilberry-Dr-K1C-2E8/home/149133515
"1645 Du Sommet Pl,Ottawa, ON K1C 4Z9",1985,Orleans Garden,Condo Management Group,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$298,3,1.5,"$380,000",https://www.redfin.com/on/ottawa/1645-Du-Sommet-Pl-K1C-4Z9/home/149134862
"762 St Andre Dr Unit 1B,Ottawa, ON K1C 4S7",1986,Orleans South West,Sentinel Management,"Building Insurance, Caretaker, Water/Sewer","Playground, Pool",$383.49,2,1.5,"$370,000",https://www.redfin.com/on/ottawa/762-St-Andre-Dr-K1C-2X9/unit-1B/home/149187728
"6975 Du Bois Ave,Ottawa, ON K1C 5L8",1985,Convent Glen,SENTINEL,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Water/Sewer",,$418.37,3,2.5,"$575,000",https://www.redfin.com/on/ottawa/6975-Du-Bois-Ave-K1C-5L8/home/149188252
"1700 Rodin Way,Ottawa, ON K1C 4Z1",1985,Chateauneuf,CMA,"Building Insurance, Caretaker, Management Fee",,$488,3,2,"$357,000",https://www.redfin.com/on/ottawa/1700-Rodin-Way-K1C/home/149188504
"770 St Andre Dr Unit 17A,Orleans, ON K1C 4S9",1986,Convent Glen,Sentinel Management,"Building Insurance, Management Fee, Recreation Facilities,, Water/Sewer",Outdoor Pool,$412.40,0 + 3,1.5,"$365,000",https://www.redfin.com/on/ottawa/770-St-Andre-Dr-K1C-4S2/unit-17A/home/149190459
"1924 Ashmont St,Ottawa, ON K1C 7B9",1990,Chapel Hill,REID PROPERTY MANAGEMENT,"Building Insurance, Caretaker, Landscape, Management Fee, Snow, Removal",,$322,3,2.5,"$600,000",https://www.redfin.com/on/ottawa/1924-Ashmont-St-K1C-7B9/home/149191253
"25 Bergeron Pvt,Ottawa, ON K1C 0C2",2015,Chapel Hill,CMG,"Building Insurance, Caretaker, Garbage Removal, Management Fee,, Snow Removal, Water/Sewer",,$254.52,2,2,"$560,100",https://www.redfin.com/on/ottawa/25-Bergeron-Pvt-K1C-0C1/home/149191760
"55 Bergeron Pvt,Orleans, ON K1C 0C2",2015,Chapel Hill,Condo Management Company,"Building Insurance, Caretaker, Garbage Removal, Snow Removal,, Water/Sewer",Storage Lockers,$270,0 + 2,2.5,"$425,500",https://www.redfin.com/on/ottawa/55-Bergeron-Pvt-K1C-6A1/home/149191827
"15 Bergeron Pvt,Ottawa, ON K1C 6A1",2015,Chapel Hill,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$326.40,0 + 2,2.5,"$501,000",https://www.redfin.com/on/ottawa/15-Bergeron-Pvt-K1C-6A1/home/149192184
"63 Bergeron Pvt,Ottawa, ON K1C 0C2",2015,Chapel Hill,CMG,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Water/Sewer",,$262.61,2,2,"$525,100",https://www.redfin.com/on/ottawa/63-Bergeron-Pvt-K1C-6A1/home/149192276
"31 Bergeron Pvt,Ottawa, ON K1C 0C2",2015,Chapel Hill,Condominium Management Group,"Building Insurance, Caretaker, Garbage Removal, Management Fee,, Snow Removal, Water/Sewer","Balcony, Storage Lockers",$254.52,2,2,"$535,000",https://www.redfin.com/on/ottawa/31-Bergeron-Pvt-K1C-0C2/home/149192300
"1128 Millwood Crt,Ottawa, ON K1C 3G1",1985,Convent Glen,Sentinel Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer",Playground,$260,3,2,"$460,000",https://www.redfin.com/on/ottawa/1128-Millwood-Crt-K1C-3E9/home/149192440
"6056 Red Willow Dr,Orleans, ON K1C 7J5",1993,Chapel Hill,Strata Management,"Building Insurance, Caretaker, Management Fee",,$352,2,1.5,"$380,000",https://www.redfin.com/on/ottawa/6056-Red-Willow-Dr-K1C-7H9/home/149198559
"1821 Axminster Crt,Ottawa, ON K1C 1Z5",1978,Convent Glen South,PMA Realty,"Building Insurance, Caretaker, General Maintenance and Repair,, Management Fee, Reserve Fund Allocation, Snow Removal",Playground,$280,3,2,"$447,000",https://www.redfin.com/on/ottawa/1821-Axminster-Crt-K1C-1Z5/home/149200338
"1979 Greenvale Lane,Ottawa, ON K1C 6E4",1987,Chateauneuf,Deerpark Management,"Building Insurance, Caretaker, Garbage Removal, Management Fee,, Snow Removal, Water/Sewer",,$399,3,1.5,"$410,000",https://www.redfin.com/on/ottawa/1979-Greenvale-Lane-K1C-6E6/home/149200417
"6255 Sundown Cres 54,Ottawa, ON K1C 2M1",1979,Convent Glen South,Premiere Property Management,"Building Insurance, Management Fee, Reserve Fund Allocation,, Snow Removal, Water/Sewer",,$330,3,1.5,"$390,000",https://www.redfin.com/on/ottawa/6255-Sundown-Cres-K1C-2M1/unit-54/home/149204032
"6434 Bilberry Dr 109,Ottawa, ON K1C 4P5",1986,Orleans Wood,Sentinel Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$421,2,1.5,"$280,000",https://www.redfin.com/on/ottawa/6434-Bilberry-Dr-K1C-4P3/unit-109/home/149204746
"6402 Bilberry Dr,Ottawa, ON K1C 4P4",1984,Orleans Wood,Sentinel,"Building Insurance, Caretaker, General Maintenance and Repair,, Snow Removal, Water/Sewer",Playground,$278.51,2,1.5,"$410,000",https://www.redfin.com/on/ottawa/6402-Bilberry-Dr-K1C/home/149206092
"6532 Bilberry Dr 213,Orleans, ON K1C 4N9",1986,Orleans Wood,PMA Realty,"Building Insurance, Caretaker, Landscape, Management Fee,, Reserve Fund Allocation, Water/Sewer","Balcony, Elevator, Laundry, Storage Lockers",$485,2,1.5,"$322,000",https://www.redfin.com/on/ottawa/6532-Bilberry-Dr-K1C-4P3/unit-213/home/149207987
"6397 Natalie Way,Ottawa, ON K1C 4X6",1985,Chateauneuf,Premiere Realty,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$190,3 + 1,1.5,"$585,000",https://www.redfin.com/on/ottawa/6397-Natalie-Way-K1C-4X6/home/149208036
"1193 Priory Lane,Ottawa, ON K1C 1Z8",1977,Convent Glen North,PMA Realty,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$434,3,1.5,"$475,000",https://www.redfin.com/on/ottawa/1193-Priory-Lane-K1C-1Z8/home/149208488
"6347 Mary Jane Cres,Ottawa, ON K1C 3C1",1984,Chateauneuf,Premier Property Management,"Garbage Removal, General Maintenance and Repair, Insurance,, Reserve Fund Allocation, Snow Removal, Water/Sewer",Playground,$308,3,1.5,"$492,000",https://www.redfin.com/on/ottawa/6347-Mary-Jane-Cres-K1C-3C1/home/149209584
"6376 Bilberry Dr 207,Ottawa, ON K1C 4P6",1985,Orleans Wood,Sentinel Property Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer",Elevator,$440.51,2,1.5,"$280,000",https://www.redfin.com/on/ottawa/6376-Bilberry-Dr-K1C-4P8/unit-207/home/149209692
"6414 Mary Jane Cres,Orleans, ON K1C 3C3",1983,Chateauneuf,Premiere Property,"Building Insurance, Management Fee, Water/Sewer",,$315,3,2,"$450,000",https://www.redfin.com/on/ottawa/6414-Mary-Jane-Cres-K1C-7P1/home/149211578
"6933 Du Bois Ave,Ottawa, ON K1C 5L4",1986,Convent Glen,CMG,"Amenities, Building Insurance, General Maintenance and Repair,, Insurance, Management Fee, Reserve Fund Allocation, Water/Sewer","Amenities, Building Insurance, General Maintenance and Repair,, Insurance, Management Fee, Reserve Fund Allocation, Water/Sewer",$452.11,3,2.5,"$625,333",https://www.redfin.com/on/ottawa/6933-Du-Bois-Ave-K1C-5L4/home/149212668
"6246 Castille Crt,Orleans, ON K1C 1X5",1976,Convent Glen South,Premier Property Management,"Building Insurance, Garbage Removal, Management Fee, Water/Sewer",,$342,3,1.5,"$385,000",https://www.redfin.com/on/ottawa/6246-Castille-Crt-K1C-1X4/home/149215666
"6577 Colony Sq,Orleans, ON K1C 3E4",1983,Convent Glen,Deerpark Management Limited,"Building Insurance, Caretaker, Management Fee, Water/Sewer",Playground,$212,3,2.5,"$480,000",https://www.redfin.com/on/ottawa/6577-Colony-Sq-K1C-3E3/home/149215953
"6145 Brookside Lane,Ottawa, ON K1C 2K6",1978,Covent Glen South,Premiere Property,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$330,3,1.5,"$500,000",https://www.redfin.com/on/ottawa/6145-Brookside-Lane-K1C-2K7/home/149216480
"1921 St Joseph Blvd 104,Orleans, ON K1C 0A3",2009,Convent Glen,CMG Condominium Management Gro,"Building Insurance, Caretaker, Management Fee, Water/Sewer","Elevator, Storage Lockers",$603,2,2,"$290,000",https://www.redfin.com/on/ottawa/1921-St-Joseph-Blvd-K1C-1E4/unit-104/home/149219924
"6964 Du Bois Ave,Orleans, ON K1C 5L5",1985,Convent Glen,Sentinel Management,"Building Insurance, Management Fee, Water/Sewer",,$452.11,3,2.5,"$517,000",https://www.redfin.com/on/ottawa/6964-Du-Bois-Ave-K1C-5L5/home/149220150
"1902 Colorado Lane,Orleans, ON K1C 6V2",1987,Orleans,Sentinel Management,"Building Insurance, Caretaker, Landscape, Management Fee,, Reserve Fund Allocation, Snow Removal",,$330,3,1.5,"$369,000",https://www.redfin.com/on/ottawa/1902-Colorado-Lane-K1C-6V3/home/149220345
"591 Lakeridge Dr,Ottawa, ON K4A 0H4",2008,Avalon East,CMG,"Amenities, Building Insurance, Caretaker, Management Fee","Amenities, Building Insurance, Caretaker, Management Fee",$255.87,0 + 2,2.5,"$450,000",https://www.redfin.com/on/ottawa/591-Lakeridge-Dr-K4A-0H1/home/149223413
"68 Beaucache Pvt,Ottawa, ON K4A 0B5",2006,Avalon,Condo Management Group,"Building Insurance, Caretaker, Garbage Removal, Landscape,, Management Fee, Reserve Fund Allocation, Snow Removal","AC, Balcony, Laundry",$198.64,2,2.5,"$540,500",https://www.redfin.com/on/ottawa/68-Beaucache-Pvt-K4A-0B6/home/149292928
"1605 Cheevers Cres,Ottawa, ON K4A 2J6",1986,Fallingbrook,PMA,"Building Insurance, Caretaker, Management Fee, Water/Sewer",Playground,$375,3 + 1,1.5,"$405,000",https://www.redfin.com/on/ottawa/1605-Cheevers-Cres-K4A-2K1/home/149293761
"385 Valade Cres,Ottawa, ON K4A 2W3",1988,Fallingbrook,PMA,"Amenities, Building Insurance, General Maintenance and Repair,, Recreation Facilities","Amenities, Building Insurance, General Maintenance and Repair,, Recreation Facilities",$360,3,1.5,"$569,828",https://www.redfin.com/on/ottawa/385-Valade-Cres-K4A/home/149308758
"563 Parasol Crt,Ottawa, ON K4A 2X2",1988,Fallingbrook,PMA,"Amenities, Building Insurance, General Maintenance and Repair,, Recreation Facilities, Reserve Fund Allocation","Playground, Pool",$360,3,1.5,"$570,000",https://www.redfin.com/on/ottawa/563-Parasol-Crt-K4A-2X2/home/149309281
"90 Prestige Cir 6,Ottawa, ON K4A 0Y1",2014,Chatelaine Village,CMG,"Building Insurance, Garbage Removal, General Maintenance and, Repair, Landscape, Management Fee, Snow Removal, Water/Sewer",,$463,2,1.5,"$435,000",https://www.redfin.com/on/ottawa/90-Prestige-Cir-K4A-0Y1/unit-6/home/149435527
"60 Prestige Cir 8,Ottawa, ON K4A 0Y1",2013,Petrie's Landing Ii,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$433,2,1.5,"$440,000",https://www.redfin.com/on/ottawa/60-Prestige-Cir-K4A-0Y1/unit-8/home/149437318
"151 Potts Pvt 305,Ottawa, ON K4A 0E1",2011,Notting Hill,Condominium Management Group,"Air Conditioning, Building Insurance, Common Area Hydro, General, Maintenance and Repair, Heat, Management Fee, Reserve Fund Allocation,, Water/Sewer","AC, Balcony, Elevator, Storage Lockers",$518.49,2,2,"$451,000",https://www.redfin.com/on/ottawa/151-Potts-Pvt-K4A-0E1/unit-305/home/149437851
"70 Beaucache Pvt,Orleans, ON K4A 0B5",2006,Avalon East,Condominium Management Group,"Common Area Hydro, General Maintenance and Repair, Snow Removal",,$198.64,2,2.5,"$425,000",https://www.redfin.com/on/ottawa/70-Beaucache-Pvt-K4A-0B6/home/149443890
"110 Briargate Pvt 1,Orleans, ON K4A 0C5",2007,Village Gate,CMG,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$345.55,2,1.5,"$352,500",https://www.redfin.com/on/ottawa/110-Briargate-Pvt-K4A-0C5/unit-1/home/149454856
"97 Carabiner Pvt,Ottawa, ON K1W 0L7",2021,Trailsedge,Berg Property Management,"Building Insurance, Caretaker, Garbage Removal, General, Maintenance and Repair, Snow Removal",,$250,0 + 2,2.5,"$502,458",https://www.redfin.com/on/ottawa/97-Carabiner-Pvt-K1W-0L7/home/149569716
"68 Carabiner Pvt,Ottawa, ON K1W 0L7",2019,Trailsedge,BERG Property Management,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$250,0 + 2,2.5,"$476,500",https://www.redfin.com/on/ottawa/68-Carabiner-Pvt-K1W-0L7/home/149570813
"380 Galston Pvt,Orleans, ON K1W 0G3",2013,Eastboro,Apollo Property Management,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$266.67,0 + 2,1.5,"$535,000",https://www.redfin.com/on/ottawa/380-Galston-Pvt-K1W-0G3/home/149599541
"303 Galston Pvt,Ottawa, ON K1W 0G3",2013,Mer Bleue,Apollo Property Management,"Building Insurance, Caretaker, Management Fee, Reserve Fund, Allocation, Snow Removal, Water/Sewer",,$266.67,2,1.5,"$543,000",https://www.redfin.com/on/ottawa/303-Galston-Pvt-K1W-0G3/home/149601081
"30 Sternes Pvt,Ottawa, ON K4A 0T9",2014,Royal Ridge,CMG Condominium Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Snow Removal",,$213.20,0 + 2,1,"$343,000",https://www.redfin.com/on/ottawa/30-Sternes-Pvt-K4A-0T9/home/149616667
"114 Bluestone Pvt,Orleans, ON K4A 0X7",2015,Avalon,Sentinel,"Building Insurance, Garbage Removal, Landscape, Management Fee,, Reserve Fund Allocation, Snow Removal",,$300,0 + 2,2.5,"$410,000",https://www.redfin.com/on/ottawa/114-Bluestone-Pvt-K4A-0M5/home/149621722
"26 Sternes Pvt,Ottawa, ON K4A 0X8",2014,Avalon,OCSCC 951,"Building Insurance, General Maintenance and Repair, Insurance,, Landscape, Snow Removal",,$232.58,2,1,"$410,000",https://www.redfin.com/on/ottawa/26-Sternes-Pvt-K4A-0T9/home/149626158
"134 Bluestone Pvt,Orleans, ON K4A 0X7",2015,Avalon,Sentinel,"Garbage Removal, Reserve Fund Allocation, Snow Removal",,$333.50,2,2.5,"$433,000",https://www.redfin.com/on/ottawa/134-Bluestone-Pvt-K4A-0M5/home/149626898
"2236 Tenth Line Rd 8,Orleans, ON K4A 0X7",2014,Avalon West,SENTINEL MANAGEMENT,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$252.11,2,1.5,"$470,000",https://www.redfin.com/on/ottawa/2236-Tenth-Line-Rd-K4A-0X7/unit-8/home/149635598
"10 Carabiner Pvt,Ottawa, ON K1W 0L7",2020,Trailsedge,BERG Property Management,"Garbage Removal, Management Fee, Snow Removal",,$250,0 + 2,2.5,"$518,000",https://www.redfin.com/on/ottawa/10-Carabiner-Pvt-K1W-0L7/home/149647038
"535 Canteval Terr 201,Orleans, ON K4A 2E3",1985,Fallingbrook,Strata Management Inc.,"Amenities, Building Insurance, Caretaker, Garbage Removal,, Recreation Facilities, Snow Removal, Water/Sewer","Balcony, Clubhouse, Exercise Centre, Outdoor Pool, Tennis Court(S)",$452,2 + 1,1.5,"$400,000",https://www.redfin.com/on/ottawa/535-Canteval-Terr-K4A-2E3/unit-201/home/149652678
"1825 Marsala Cres 104,Orleans, ON K4A 2E6",1985,Fallingbrook/pineridge,STRATA,"Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Water/Sewer","Amenities, Building Insurance, Caretaker, Management Fee,, Recreation Facilities, Water/Sewer",$374.65,1,1,"$341,000",https://www.redfin.com/on/ottawa/1825-Marsala-Cres-K4A/unit-104/home/149652946
"505 Canteval Terr 100,Orleans, ON K4A 2E1",1986,Fallingbrook/pineridge,Strata Management Inc.,"Building Insurance, Caretaker, Management Fee, Recreation, Facilities, Snow Removal, Water/Sewer","Exercise Centre, Outdoor Pool, Tennis Court(S)",$451.42,2,1,"$415,000",https://www.redfin.com/on/ottawa/505-Canteval-Terr-K4A-2E1/unit-100/home/149654301
"64 Brentmore Pvt,Orleans, ON K4A 0B7",2009,Avalon,CMG,"Building Insurance, Caretaker, Management Fee","Laundry, Patio",$206.11,0 + 2,2.5,"$469,900",https://www.redfin.com/on/ottawa/64-Brentmore-Pvt-K4A-0B5/home/149660514
"1631 Hoskins Cres,Orleans, ON K4A 2H9",1986,Orleans,CMG,Not Available,,$337,3,1.5,"$385,000",https://www.redfin.com/on/ottawa/1631-Hoskins-Cres-K4A-2H9/home/149672290
"24 Lakepointe Dr,Ottawa, ON K4A 5E3",2005,Avalon East,Condo Management Group /,"Common Area Hydro, Management Fee",,$274.95,0 + 2,2.5,"$378,000",https://www.redfin.com/on/ottawa/24-Lakepointe-Dr-K4A-3W6/home/149676560
"2330 Bois Vert Pl,Orleans, ON K4A 4T8",2004,Avalon,Condo Management Group,"Building Insurance, Caretaker, Landscape, Management Fee, Snow, Removal",,$260.08,2,2.5,"$466,650",https://www.redfin.com/on/ottawa/2330-Bois-Vert-Pl-K4A-4T8/home/149677000
"909 Cookshire Cres,Orleans, ON K4A 3K4",1990,Fallingbrook,Axia,"Building Insurance, Caretaker, Management Fee",,$189,3,1.5,"$496,000",https://www.redfin.com/on/ottawa/909-Cookshire-Cres-K4A-3K3/home/149679352
"1563 Cheevers Cres,Ottawa, ON K4A 2J9",1986,Fallingbrook,PMA Realty Consulting,"Building Insurance, Caretaker, Management Fee, Water/Sewer",,$386.25,3,1.5,"$420,000",https://www.redfin.com/on/ottawa/1563-Cheevers-Cres-K4A-2J9/home/149681857
"11 Carabiner Pvt,Ottawa, ON K1W 0L7",2020,Trailsedge,BERG Property Management,"Building Insurance, Caretaker, Management Fee, Snow Removal",,$250,0 + 2,2.5,"$470,000",https://www.redfin.com/on/ottawa/11-Carabiner-Pvt-K1W-0L7/home/149710921
"2044 Arrowsmith Dr Unit 305C,Ottawa, ON K1J 7V8",1970,Beacon Hill,Sentinel Management,"Building Insurance, Management Fee, Water/Sewer","Balcony, Elevator, Laundry, Outdoor Pool, Storage Lockers",$381.77,1,1,"$250,000",https://www.redfin.com/on/ottawa/2044-Arrowsmith-Dr-K1J-8V9/unit-305C/home/150421999
"1146 Chimney Hill Way,Ottawa, ON K1J 8Z8",1986,Beacon Hill South,Condominium Management Group,"Landscape, Management Fee, Reserve Fund Allocation, Snow, Removal, Water/Sewer",,$573,3,1.5,"$411,000",https://www.redfin.com/on/ottawa/1146-Chimney-Hill-Way-K1J-8Z8/home/150441879
"1356 Bethamy Lane,Gloucester, ON K1J 8P4",1977,Beacon Hill South,Reid Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Landscape, Management Fee, Water/Sewer",,$429,3,1.5,"$407,000",https://www.redfin.com/on/ottawa/1356-Bethamy-Lane-K1J-8P3/home/150460434
"900 Elmsmere Rd 6,Ottawa, ON K1J 7T6",1972,Beacon Hill South,Deerpark,"Building Insurance, Caretaker, Heat, Hydro, Water/Sewer",,$433.62,2,1,"$190,000",https://www.redfin.com/on/ottawa/900-Elmsmere-Rd-K1J-7T7/unit-6/home/150467648
"49 Sumac St 11,Ottawa, ON K1J 7T7",1975,Beacon Hill South,Deerpark Management,"Building Insurance, Caretaker, General Maintenance and Repair,, Heat, Hydro, Insurance, Management Fee, Reserve Fund Allocation, Snow Removal,, Storage, Water/Sewer","Clubhouse, Laundry",$433.62,2,1,"$240,000",https://www.redfin.com/on/ottawa/49-Sumac-St-K1J-7T7/unit-11/home/150468903
"2210 Loyola Ave 2,Ottawa, ON K1J 8H5",1972,Beaconwood,Condominium Management Group,"Building Insurance, General Maintenance and Repair, Landscape,, Management Fee, Snow Removal, Water/Sewer",Playground,$325,3,2,"$405,000",https://www.redfin.com/on/ottawa/2210-Loyola-Ave-K1J-7W3/unit-2/home/150469315
"2210 Loyola Ave 50,Ottawa, ON K1J 8H5",1972,Beacon Hill North,Condominium Management Group,"Building Insurance, Caretaker, Management Fee, Water/Sewer",Playground,$340,3,1.5,"$480,000",https://www.redfin.com/on/ottawa/2210-Loyola-Ave-K1J-7W3/unit-50/home/150469466
